"tabel";"gecheckt";"regel";"sub";"sql";"regel_oud";"sub_oud";"sql_oud";"nieuw";"volgnr";"opmerking";"linkveld";"toegevoegd_20190424";"gewijzigd_20190424";"toegevoegd_20190510";"gewijzigd_20190510"
"G";1;"001";0;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (_tbl_HS_Opnamen_Grasland) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE ((([_tbl_HS_Opnamen_Grasland].BosBedekking)>10));";;;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (_tbl_HS_Opnamen_Grasland) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE ((([_tbl_HS_Opnamen_Grasland].BosBedekking)>10));";1;179;;5;0;1;0;0
"G";0;"001";0;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (_tbl_HS_Opnamen_Grasland) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<50) AND (([_tbl_HS_Opnamen_Grasland].KruidenInKLBedekking_vast)>0) AND (([KruidenInKLBedekking_vast]/([NietKruidenInKLBedekking_vast]+[KruidenInKLBedekking_vast]))>0.5)) OR ((([_tbl_HS_Opnamen_Grasland].KruidenInKLBedekking_vast) Is Null))";"001";0;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (_tbl_HS_Opnamen_Grasland) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<50) AND (([_tbl_HS_Opnamen_Grasland].KruidenInKLBedekking_vast)>0) AND (([KruidenInKLBedekking_vast]/([NietKruidenInKLBedekking_vast]+[KruidenInKLBedekking_vast]))>0.5)) OR ((([_tbl_HS_Opnamen_Grasland].KruidenInKLBedekking_vast) Is Null))";0;1;;1;0;0;0;0
"G";1;"002";0;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_heide_sl INTO t1
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=640)) OR (((SPECSYNO.IsLichen)=True))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_heide_sl INTO t1
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=640)) OR (((SPECSYNO.IsLichen)=True))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;882;;2;0;0;0;0
"G";0;"002";0;"SELECT Sum(Log((100-[Percentage]+0.01)/100)) AS transPerc, Sum(tbl_BasisDataset_RBB.Percentage) AS SomVanPercentage, [_tbl_HS_Opnamen_Grasland].RecordingGivid INTO t1
FROM (_tbl_HS_Opnamen_Grasland INNER JOIN tbl_BasisDataset_RBB ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = tbl_BasisDataset_RBB.RecordingGivid) INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.IsEenDwergstruik)=True) AND ((SPECSYNO.SPECIESNAM) Like ""Andromeda*"" Or (SPECSYNO.SPECIESNAM) Like ""Calluna*"" Or (SPECSYNO.SPECIESNAM) Like ""Erica*"" Or (SPECSYNO.SPECIESNAM) Like ""Genista*"" Or (SPECSYNO.SPECIESNAM) Like ""Vaccinium*""))
GROUP BY [_tbl_HS_Opnamen_Grasland].RecordingGivid
HAVING (((Sum(Log((100-[Percentage])/100)))<-0.69))";"002";0;"SELECT Sum(Log((100-[Percentage])/100)) AS transPerc, Sum(tbl_BasisDataset_RBB.Percentage) AS SomVanPercentage, [_tbl_HS_Opnamen_Grasland].RecordingGivid INTO t1
FROM (_tbl_HS_Opnamen_Grasland INNER JOIN tbl_BasisDataset_RBB ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = tbl_BasisDataset_RBB.RecordingGivid) INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.IsEenDwergstruik)=True) AND ((SPECSYNO.SPECIESNAM) Like ""Andromeda*"" Or (SPECSYNO.SPECIESNAM) Like ""Calluna*"" Or (SPECSYNO.SPECIESNAM) Like ""Erica*"" Or (SPECSYNO.SPECIESNAM) Like ""Genista*"" Or (SPECSYNO.SPECIESNAM) Like ""Vaccinium*""))
GROUP BY [_tbl_HS_Opnamen_Grasland].RecordingGivid
HAVING (((Sum(Log((100-[Percentage])/100)))<-0.69))";0;2;;2;0;0;0;0
"G";1;"002";1;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_heide_diff_grasl INTO t2
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=641))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_heide_diff_grasl INTO t2
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=641))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;883;;2;0;0;0;0
"G";0;"002";1;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Heide_ss_bedekking INTO t2
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=580))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Heide_ss_bedekking INTO t2
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=580))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;445;;2;0;0;0;0
"G";1;"002";2;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_gras_neutraal INTO t3
FROM tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.SPECIESNAM) Like ""molinia*"" Or (SPECSYNO.SPECIESNAM) Like ""carex arenaria*"" Or (SPECSYNO.SPECIESNAM) Like ""agrostis vine*"" Or (SPECSYNO.SPECIESNAM) Like ""festuca fili*""))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_gras_neutraal INTO t3
FROM tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.SPECIESNAM) Like ""molinia*"" Or (SPECSYNO.SPECIESNAM) Like ""carex arenaria*"" Or (SPECSYNO.SPECIESNAM) Like ""agrostis vine*"" Or (SPECSYNO.SPECIESNAM) Like ""festuca fili*""))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;884;;2;0;0;0;0
"G";0;"002";2;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Heide_sl_bedekking, Count(tbl_BasisDataset_RBB.speciesnam) AS Heide_sl_aantal INTO t3
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=549))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Heide_sl_bedekking, Count(tbl_BasisDataset_RBB.speciesnam) AS Heide_sl_aantal INTO t3
FROM (tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA) INNER JOIN tbl_LSVI3_soorten ON SPECSYNO.SPECIESNAM = tbl_LSVI3_soorten.WetNaam
WHERE (((tbl_LSVI3_soorten.SoortenlijstNr)=549))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;472;;2;0;0;0;0
"G";1;"002";3;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_gagel_jeneverbes INTO t4
FROM tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.SPECIESNAM) Like ""myrica*"" Or (SPECSYNO.SPECIESNAM) Like ""juniperus*""))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";;;"SELECT tbl_BasisDataset_RBB.RecordingGivid, Sum(tbl_BasisDataset_RBB.Percentage) AS Bedek_gagel_jeneverbes INTO t4
FROM tbl_BasisDataset_RBB INNER JOIN SPECSYNO ON tbl_BasisDataset_RBB.SPECIESNAM = SPECSYNO.ORIGINALNA
WHERE (((SPECSYNO.SPECIESNAM) Like ""myrica*"" Or (SPECSYNO.SPECIESNAM) Like ""juniperus*""))
GROUP BY tbl_BasisDataset_RBB.RecordingGivid";1;885;;2;0;0;0;0
"G";0;"002";3;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (((t1 RIGHT JOIN _tbl_HS_Opnamen_Grasland ON t1.RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid) LEFT JOIN t2 ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = t2.RecordingGivid) LEFT JOIN t3 ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = t3.RecordingGivid) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE (((t1.RecordingGivid) Is Not Null) AND (([_tbl_HS_Opnamen_Grasland].BosBedekking)<30)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.5)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.4) AND (([Heide_sl_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.8)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.35) AND (([Heide_sl_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.85) AND ((t3.Heide_sl_aantal)>=3));";"002";1;"UPDATE [_tbl_HS_Opnamen_Grasland_G] INNER JOIN (((t1 RIGHT JOIN _tbl_HS_Opnamen_Grasland ON t1.RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid) LEFT JOIN t2 ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = t2.RecordingGivid) LEFT JOIN t3 ON [_tbl_HS_Opnamen_Grasland].RecordingGivid = t3.RecordingGivid) ON [_tbl_HS_Opnamen_Grasland_G].RecordingGivid = [_tbl_HS_Opnamen_Grasland].RecordingGivid SET _tbl_HS_Opnamen_Grasland_G.fld.name = True WHERE (((t1.RecordingGivid) Is Not Null) AND (([_tbl_HS_Opnamen_Grasland].BosBedekking)<30)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.5)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.4) AND (([Heide_sl_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.8)) OR ((([_tbl_HS_Opnamen_Grasland].BosBedekking)<30) AND (([_tbl_HS_Opnamen_Grasland].KruidlaagBedekkingSom_Vast)>0) AND (([Heide_ss_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.35) AND (([Heide_sl_bedekking]/[KruidlaagBedekkingSom_Vast])>=0.85) AND ((t3.Heide_sl_aantal)>=3));";0;3;;2;0;0;0;0
