taxon;taxonid;taxon_group;tax_orig;tax_origid;tax_orig_taal;tax_canon
×Agropogon lutosus (Poir.) P.Fourn.;TI2025042200002446;VP;×Agropogon lutosus (Poir.) P.Fourn.;TI2025042200002446;Sci;x Agropogon lutosus
×Calammophila baltica (Flügge ex Schrad.) Brand;TI2025042200002447;VP;×Calammophila baltica (Flügge ex Schrad.) Brand;TI2025042200002447;Sci;x Calammophila baltica
×Festulolium;TI2025042200002448;VP;×Festulolium;TI2025042200002448;Sci;x Festulolium
×Schedolium;TI2025042200002449;VP;×Schedolium;TI2025042200002449;Sci;x Schedolium
×Schedolium braunii (K. Richt.) Stace;TI2025042200002450;VP;×Festulolium braunii (K. Richt.) A. Camus;TI2025042200004704;Sci;x Schedolium braunii
×Schedolium braunii (K. Richt.) Stace;TI2025042200002450;VP;beemdlangbloem x italiaans raaigras;TX2009083120420081;nl;x Schedolium braunii
×Schedolium holmbergii (Dörfl.) Holub;TI2025042200002451;VP;×Festulolium holmbergii (Dörfl.) P. Fourn.;TI2025042200004705;Sci;x Schedolium holmbergii
×Schedolium loliaceum (Huds.) Holub;TI2025042200002452;VP;×Festulolium loliaceum (Huds.) P. Fourn.;TI2025042200004706;Sci;x Schedolium loliaceum
×Schedolium loliaceum (Huds.) Holub;TI2025042200002452;VP;trosraaigras;TX2009083120420196;nl;x Schedolium loliaceum
Abies;INBSYS0000015902;VP;zilverspar (g);TX2009083118470478;nl;Abies
Abies alba Mill.;INBSYS0000016783;VP;gewone zilverspar;TX2009083118470362;nl;Abies alba
Abies alba Mill.;INBSYS0000016783;VP;Abies pectinata (Lam.) DC.;INBSYS0000010623;Sci;Abies alba
Abies grandis (Dougl. Ex D. Don) Lindl.;INBSYS0000010622;VP;reuzenzilverspar;TI2025042200004373;nl;Abies grandis
Abietinella;INBSYS0000001821;BR;Abietinella;INBSYS0000001821;Sci;Abietinella
Abietinella abietina (Hedw.) M.Fleisch.;INBSYS0000001301;BR;Thuidium abietinum (Hedw.) Schimp.;INBSYS0000002322;Sci;Abietinella abietina
Abietinella abietina (Hedw.) M.Fleisch.;INBSYS0000001301;BR;sparrenmos;TX2009083119102846;nl;Abietinella abietina
Abrothallus;TX2009083117590218;LI;Abrothallus;TX2009083117590218;Sci;Abrothallus
Abrothallus acetabuli Diederich;INBSYS0000056047;LI;Abrothallus acetabuli Diederich;INBSYS0000056047;Sci;Abrothallus acetabuli
Abrothallus caerulescens Kotte;INBSYS0000058206;LI;Abrothallus caerulescens Kotte;INBSYS0000058206;Sci;Abrothallus caerulescens
Abrothallus parmeliarum (Sommerf.) Arnold;INBSYS0000057587;LI;Abrothallus parmeliarum (Sommerf.) Arnold;INBSYS0000057587;Sci;Abrothallus parmeliarum
Abrothallus suecicus (Kirschst.) Nordin;TX2009083117590318;LI;Abrothallus suecicus (Kirschst.) Nordin;TX2009083117590318;Sci;Abrothallus suecicus
Absconditella;TX2009083117590834;LI;kroesje;TI2025042200004186;nl;Absconditella
Absconditella delutula (Nyl.) Coppins & H. Kilias;INBSYS0000058208;LI;kleinsporig kroesje;TI2025042200004149;nl;Absconditella delutula
Absconditella fossarum Vězda & Pisút;TX2009083117590534;LI;zandkroesje;TI2025042200004659;nl;Absconditella fossarum
Absconditella lignicola Vězda & Pisút;TX2009083117590634;LI;houtkroesje;TI2025042200004041;nl;Absconditella lignicola
Absconditella pauxilla Vězda & Vivant;TX2009083117590734;LI;smalsporig kroesje;TI2025042200004466;nl;Absconditella pauxilla
Absconditella sphagnorum Vězda & Poelt;TX2009083117590934;LI;veenmoskroesje;TI2025042200004577;nl;Absconditella sphagnorum
